date,city,temperature_c,humidity_percent,electricity_units_kwh,household_size,income_level,power_outage_hours
2022-02-02,Peshawar,28.3,79,24.7,4,Middle,2.02
2022-02-03,Karachi,32.5,56,10.78,8,High,1.04
2022-02-04,Islamabad,21.2,83,15.03,2,Middle,0.48
2022-02-05,Quetta,40.1,79,20.3,3,Low,0.28
2022-02-06,Islamabad,29.4,64,20.19,6,High,1.45
2022-02-07,Quetta,37.8,81,14.74,7,High,1.9
2022-02-08,Karachi,32.4,88,24.33,8,Middle,1.26
2022-02-09,Lahore,33.2,50,23.51,8,High,2.01
2022-02-10,Peshawar,34.0,54,20.83,7,Middle,0.23
2022-02-11,Karachi,33.1,57,17.47,7,Middle,3.21
2022-02-12,Peshawar,34.5,76,28.29,8,High,1.31
2022-02-13,Lahore,39.3,44,31.93,4,Middle,0.2
2022-02-14,Lahore,31.4,33,19.1,6,Middle,0.93
2022-02-15,Karachi,35.0,58,18.33,4,Middle,2.79
2022-02-16,Lahore,29.4,88,24.95,3,Middle,3.42
2022-02-17,Quetta,40.1,38,19.85,2,High,0.46
2022-02-18,Lahore,25.3,56,21.16,7,Low,1.86
2022-02-19,Peshawar,42.6,55,26.44,6,Low,0.16
2022-02-20,Peshawar,29.7,48,10.54,7,Middle,0.05
2022-02-21,Peshawar,20.0,85,29.91,4,Middle,1.23
2022-02-22,Peshawar,30.9,57,22.44,5,Middle,1.78
2022-02-23,Quetta,25.2,46,19.53,3,Low,2.38
2022-02-24,Islamabad,35.9,72,21.46,2,Middle,0.62
2022-02-25,Karachi,25.4,86,21.77,3,High,0.01
2022-02-26,Peshawar,26.9,70,11.61,5,High,0.98
2022-02-27,Lahore,16.8,71,30.97,2,High,0.02
2022-02-28,Peshawar,26.8,79,22.25,5,Low,0.14
2022-03-01,Lahore,13.0,49,24.66,3,Middle,0.59
2022-03-02,Lahore,18.9,74,27.71,4,Middle,0.86
2022-03-03,Peshawar,35.3,69,15.87,8,Middle,0.49
2022-03-04,Quetta,35.5,68,24.84,3,Low,1.31
2022-03-05,Lahore,33.0,78,20.39,3,Low,0.09
2022-03-06,Lahore,23.2,82,27.08,3,Low,0.23
2022-03-07,Peshawar,29.7,52,9.24,6,Low,1.78
2022-03-08,Lahore,30.0,76,21.41,5,High,0.23
2022-03-09,Lahore,21.9,61,18.38,5,Low,1.53
2022-03-10,Peshawar,40.5,81,24.59,7,Low,0.08
2022-03-11,Peshawar,36.1,76,24.82,5,Low,0.78
2022-03-12,Karachi,28.5,62,17.75,7,Middle,0.29
2022-03-13,Quetta,30.2,86,17.73,6,Middle,0.17
2022-03-14,Quetta,31.5,75,21.34,4,Middle,1.26
2022-03-15,Lahore,15.7,34,16.62,7,High,3.95
2022-03-16,Quetta,28.3,72,27.05,3,High,0.08
2022-03-17,Lahore,25.2,77,19.78,4,Low,0.82
2022-03-18,Karachi,23.0,63,4.56,8,Middle,1.84
2022-03-19,Peshawar,28.0,69,19.75,6,High,0.93
2022-03-20,Peshawar,42.6,40,15.77,5,Middle,2.46
2022-03-21,Peshawar,34.5,79,12.21,7,High,0.3
2022-03-22,Quetta,26.0,32,14.58,3,High,4.81
2022-03-23,Karachi,34.0,87,22.66,2,Low,0.73
2022-03-24,Quetta,39.8,62,29.97,8,Low,0.63
2022-03-25,Quetta,36.5,40,23.88,2,High,3.11
2022-03-26,Karachi,30.4,45,18.36,4,Low,1.24
2022-03-27,Karachi,25.5,47,24.74,5,High,1.09
2022-03-28,Karachi,34.9,59,19.25,2,High,1.95
2022-03-29,Karachi,32.8,77,17.83,4,Middle,1.3
2022-03-30,Peshawar,36.3,84,15.07,6,Low,0.27
2022-03-31,Islamabad,34.4,39,11.49,4,Low,1.68
2022-04-01,Islamabad,37.3,47,19.66,8,Low,0.21
2022-04-02,Karachi,26.3,67,22.95,4,Middle,2.46
2022-04-03,Islamabad,39.2,48,21.42,8,Middle,6.87
2022-04-04,Islamabad,31.4,65,19.5,4,Middle,0.71
2022-04-05,Karachi,44.5,88,16.33,3,Low,0.88
2022-04-06,Islamabad,25.2,42,25.65,4,Low,0.07
2022-04-07,Quetta,42.2,85,14.1,7,Low,0.02
2022-04-08,Lahore,31.4,75,26.66,4,Middle,3.82
2022-04-09,Lahore,25.4,32,15.99,3,Middle,0.21
2022-04-10,Karachi,26.6,39,17.49,3,High,0.89
2022-04-11,Peshawar,27.8,67,13.2,6,Middle,2.53
2022-04-12,Karachi,33.0,30,18.99,8,High,3.3
2022-04-13,Peshawar,33.7,84,27.85,5,Low,1.1
2022-04-14,Lahore,26.0,85,25.09,2,Middle,1.25
2022-04-15,Karachi,29.8,56,27.87,2,Low,1.66
2022-04-16,Quetta,45.0,75,25.13,4,Low,4.88
2022-04-17,Islamabad,42.1,37,15.38,6,Low,1.38
2022-04-18,Peshawar,33.1,80,20.02,4,Low,1.23
2022-04-19,Islamabad,30.3,75,17.32,2,Middle,0.02
2022-04-20,Islamabad,30.8,71,29.98,8,Low,0.13
2022-04-21,Karachi,34.3,46,14.82,8,High,1.29
2022-04-22,Islamabad,22.8,38,27.36,8,Middle,4.13
2022-04-23,Quetta,28.2,35,27.36,3,Low,3.02
2022-04-24,Islamabad,18.3,72,32.98,5,Middle,6.08
2022-04-25,Karachi,32.8,54,19.54,6,High,1.13
2022-04-26,Quetta,34.5,68,26.27,3,Low,2.33
2022-04-27,Lahore,26.6,78,35.69,5,High,2.75
2022-04-28,Islamabad,41.0,89,18.29,6,Low,1.57
2022-04-29,Karachi,21.4,57,12.79,6,High,0.62
2022-04-30,Lahore,19.7,62,10.72,2,Low,0.95
2022-05-01,Lahore,31.6,83,26.28,3,Middle,2.93
2022-05-02,Peshawar,37.3,66,10.7,6,Low,0.53
2022-05-03,Quetta,41.8,38,19.77,7,Middle,3.86
2022-05-04,Islamabad,26.8,47,24.62,8,Low,0.39
2022-05-05,Karachi,37.6,85,23.11,6,Low,2.08
2022-05-06,Peshawar,29.7,88,24.55,5,High,1.49
2022-05-07,Quetta,28.8,50,23.33,2,High,2.08
2022-05-08,Peshawar,36.2,31,29.67,4,High,0.86
2022-05-09,Quetta,34.6,87,16.29,8,Low,4.05
2022-05-10,Quetta,19.0,72,17.94,2,Low,1.5
2022-05-11,Islamabad,40.3,88,17.36,4,Low,0.51
2022-05-12,Quetta,39.7,89,26.98,3,Middle,1.53
2022-05-13,Peshawar,25.6,67,27.4,3,Middle,0.51
2022-05-14,Quetta,32.8,87,24.71,6,Low,0.52
2022-05-15,Islamabad,33.5,69,29.1,7,High,0.77
2022-05-16,Islamabad,31.8,65,14.93,3,High,2.87
2022-05-17,Peshawar,26.1,79,32.0,6,High,1.04
2022-05-18,Lahore,25.3,89,31.14,8,Low,1.7
2022-05-19,Lahore,29.8,72,26.41,2,High,0.75
2022-05-20,Quetta,38.2,66,32.69,3,Low,0.46
2022-05-21,Karachi,33.8,44,12.06,2,Middle,4.64
2022-05-22,Quetta,27.4,57,18.85,2,High,1.39
2022-05-23,Peshawar,35.4,47,17.59,7,Middle,4.08
2022-05-24,Peshawar,10.1,63,26.33,3,High,0.34
2022-05-25,Peshawar,38.0,51,15.7,2,Low,0.24
2022-05-26,Peshawar,17.8,40,26.54,7,Low,2.91
2022-05-27,Peshawar,27.5,87,30.22,7,Low,1.71
2022-05-28,Islamabad,22.2,86,26.17,3,Low,0.31
2022-05-29,Lahore,20.9,42,23.7,7,High,0.47
2022-05-30,Peshawar,38.1,33,16.07,3,Middle,2.42
2022-05-31,Karachi,26.7,51,16.92,3,Low,0.91
2022-06-01,Karachi,32.4,36,29.5,4,High,1.67
2022-06-02,Karachi,29.7,72,26.68,2,Middle,0.57
2022-06-03,Karachi,33.3,83,21.77,5,Low,0.72
2022-06-04,Islamabad,30.5,53,19.49,3,Middle,7.02
2022-06-05,Karachi,21.0,33,9.85,2,Low,0.43
2022-06-06,Peshawar,37.0,57,15.57,8,Middle,1.06
2022-06-07,Quetta,26.5,44,33.47,7,Middle,2.79
2022-06-08,Karachi,19.1,30,14.32,6,Low,0.41
2022-06-09,Islamabad,27.0,84,23.14,3,High,0.8
2022-06-10,Islamabad,40.5,32,28.04,7,Middle,1.43
2022-06-11,Karachi,36.0,43,14.47,7,Low,0.98
2022-06-12,Quetta,27.6,67,23.11,7,Middle,0.92
2022-06-13,Karachi,27.6,79,27.63,7,Middle,0.68
2022-06-14,Islamabad,27.7,86,22.07,7,High,1.33
2022-06-15,Lahore,44.5,30,39.21,3,Middle,1.47
2022-06-16,Peshawar,32.7,67,11.99,8,Middle,1.59
2022-06-17,Islamabad,33.0,67,28.35,5,Low,0.11
2022-06-18,Karachi,37.2,50,20.96,4,Low,1.5
2022-06-19,Peshawar,31.7,77,26.63,7,High,4.59
2022-06-20,Karachi,28.2,58,24.65,7,Middle,1.17
2022-06-21,Karachi,28.6,34,17.6,4,Middle,1.88
2022-06-22,Lahore,29.5,78,23.37,8,Middle,1.22
2022-06-23,Peshawar,29.7,39,10.85,8,High,2.89
2022-06-24,Peshawar,35.1,57,25.62,3,Middle,3.98
2022-06-25,Lahore,30.4,50,23.79,2,Low,0.31
2022-06-26,Islamabad,35.1,79,25.83,6,High,0.86
2022-06-27,Karachi,29.4,36,28.35,6,Low,0.75
2022-06-28,Quetta,30.6,32,24.21,2,Low,0.78
2022-06-29,Karachi,16.0,74,22.89,3,High,0.2
2022-06-30,Karachi,36.4,76,16.71,6,Low,2.52
2022-07-01,Islamabad,32.4,49,17.73,8,Middle,0.05
2022-07-02,Karachi,37.0,48,29.12,4,High,1.13
2022-07-03,Lahore,9.7,64,30.62,2,Low,1.63
2022-07-04,Lahore,44.6,33,20.57,8,Middle,0.35
2022-07-05,Peshawar,29.0,34,22.28,5,Middle,3.54
2022-07-06,Quetta,37.8,30,16.57,3,Low,2.74
2022-07-07,Karachi,22.7,33,29.04,2,Middle,0.96
2022-07-08,Karachi,34.3,41,25.99,6,High,0.79
2022-07-09,Islamabad,22.6,89,33.65,3,Low,0.4
2022-07-10,Lahore,25.6,56,16.73,4,Middle,1.96
2022-07-11,Quetta,43.4,85,19.73,3,Middle,0.21
2022-07-12,Peshawar,28.7,71,23.39,3,Low,1.71
2022-07-13,Lahore,31.5,52,25.88,4,Low,2.77
2022-07-14,Peshawar,36.1,54,20.71,7,Low,0.39
2022-07-15,Islamabad,33.5,50,16.76,4,Low,3.02
2022-07-16,Islamabad,31.1,87,27.29,8,High,0.05
2022-07-17,Karachi,32.6,81,26.33,3,Low,3.66
2022-07-18,Quetta,46.8,53,16.5,4,High,0.19
2022-07-19,Peshawar,29.6,54,30.13,7,High,1.56
2022-07-20,Lahore,31.4,74,29.02,8,Low,0.43
2022-07-21,Islamabad,37.4,84,22.81,2,High,2.72
2022-07-22,Karachi,37.7,75,22.48,4,Low,1.08
2022-07-23,Karachi,38.3,61,25.32,4,Low,0.22
2022-07-24,Peshawar,34.5,84,16.83,3,Middle,1.27
2022-07-25,Islamabad,22.0,61,22.18,8,Low,0.79
2022-07-26,Quetta,41.4,34,9.09,2,Middle,1.62
2022-07-27,Islamabad,22.0,65,27.26,5,High,3.2
2022-07-28,Peshawar,32.1,75,12.63,5,Middle,0.79
2022-07-29,Peshawar,24.7,71,31.02,6,High,0.51
2022-07-30,Islamabad,29.6,78,20.02,4,Low,0.02
2022-07-31,Peshawar,32.3,71,20.73,4,High,1.28
2022-08-01,Islamabad,32.2,87,18.23,2,High,0.77
2022-08-02,Lahore,33.0,68,20.27,7,Low,0.7
2022-08-03,Islamabad,41.3,45,30.51,5,High,0.3
2022-08-04,Islamabad,33.2,62,7.07,6,Low,0.84
2022-08-05,Peshawar,28.3,78,29.66,2,Middle,6.24
2022-08-06,Peshawar,36.7,50,24.03,4,Low,0.53
2022-08-07,Karachi,38.3,38,14.76,5,Low,1.37
2022-08-08,Karachi,21.4,35,15.55,8,High,2.25
2022-08-09,Lahore,34.2,80,32.06,6,Middle,2.07
2022-08-10,Karachi,34.9,74,16.33,3,Low,0.6
2022-08-11,Islamabad,27.9,64,15.08,5,Middle,1.42
2022-08-12,Peshawar,39.6,68,28.82,6,Middle,3.07
2022-08-13,Karachi,28.9,51,24.03,2,High,0.02
2022-08-14,Karachi,30.9,70,16.37,3,Low,0.86
2022-08-15,Lahore,28.8,83,23.3,6,High,0.38
2022-08-16,Lahore,30.1,34,15.85,6,Low,0.74
2022-08-17,Islamabad,22.3,71,28.6,4,Middle,0.81
2022-08-18,Peshawar,19.9,52,28.37,7,Low,2.06
2022-08-19,Lahore,41.2,46,25.19,5,Low,0.15
2022-08-20,Karachi,24.1,41,24.17,4,Middle,1.08
2022-08-21,Peshawar,23.1,52,32.57,8,Middle,1.25
2022-08-22,Peshawar,14.9,45,22.0,3,Low,1.02
2022-08-23,Karachi,25.5,32,14.91,7,High,1.97
2022-08-24,Lahore,20.7,59,24.7,6,Low,0.73
2022-08-25,Karachi,41.5,86,34.52,4,Middle,4.35
2022-08-26,Peshawar,37.1,51,15.91,7,High,0.99
2022-08-27,Quetta,25.2,38,19.83,8,Middle,1.27
2022-08-28,Quetta,45.8,58,24.5,5,Middle,2.62
2022-08-29,Islamabad,36.9,76,21.68,8,High,0.48
2022-08-30,Karachi,27.7,66,16.11,3,Middle,0.12
2022-08-31,Karachi,12.5,52,28.73,2,Middle,1.85
2022-09-01,Islamabad,46.0,42,35.92,4,Middle,0.99
2022-09-02,Islamabad,20.3,61,23.18,3,Middle,3.4
2022-09-03,Islamabad,18.5,75,16.58,2,Middle,6.08
2022-09-04,Peshawar,37.2,81,12.71,4,Middle,0.76
2022-09-05,Karachi,47.1,76,23.55,3,Middle,0.81
2022-09-06,Peshawar,39.7,77,28.62,8,Middle,0.79
2022-09-07,Islamabad,33.9,52,24.85,3,Middle,0.59
2022-09-08,Karachi,34.2,74,21.99,7,Low,2.28
2022-09-09,Peshawar,36.0,46,18.46,8,Low,2.13
2022-09-10,Peshawar,35.3,84,15.45,4,Middle,0.98
2022-09-11,Islamabad,32.0,69,27.01,3,Low,0.07
2022-09-12,Karachi,30.7,50,27.48,6,High,0.56
2022-09-13,Islamabad,29.6,31,12.73,4,Low,0.52
2022-09-14,Karachi,24.7,66,31.54,3,Middle,2.5
2022-09-15,Quetta,28.0,35,25.44,7,Middle,0.14
2022-09-16,Lahore,18.1,73,30.4,2,Low,2.46
2022-09-17,Lahore,29.3,47,13.95,2,Middle,1.66
2022-09-18,Lahore,23.1,59,13.81,6,High,1.98
2022-09-19,Islamabad,22.3,51,21.11,4,High,0.85
2022-09-20,Quetta,31.3,83,25.02,7,Middle,1.71
2022-09-21,Karachi,39.7,62,32.78,3,High,1.41
2022-09-22,Peshawar,36.4,59,26.24,3,High,2.2
2022-09-23,Karachi,19.0,46,20.54,2,Low,0.89
2022-09-24,Peshawar,23.1,72,15.84,7,High,0.96
2022-09-25,Karachi,36.6,61,29.38,8,Low,1.55
2022-09-26,Quetta,23.1,71,16.21,6,Middle,0.17
2022-09-27,Peshawar,28.4,80,31.77,2,Low,0.86
2022-09-28,Islamabad,33.9,43,20.29,2,Middle,5.36
2022-09-29,Karachi,23.2,87,31.54,6,Middle,0.06
2022-09-30,Karachi,30.7,39,26.07,4,Middle,0.57
2022-10-01,Peshawar,20.7,76,21.18,3,Middle,0.57
2022-10-02,Islamabad,25.8,89,18.88,4,Middle,1.51
2022-10-03,Islamabad,32.2,80,19.95,7,Low,0.17
2022-10-04,Quetta,18.8,65,24.57,8,Middle,1.49
2022-10-05,Islamabad,33.1,63,22.46,5,High,0.15
2022-10-06,Islamabad,29.9,38,18.44,5,High,0.15
2022-10-07,Islamabad,33.9,71,21.01,5,Middle,1.95
2022-10-08,Lahore,31.6,57,22.47,6,High,0.59
2022-10-09,Quetta,39.5,40,9.23,2,Low,5.69
2022-10-10,Karachi,30.9,43,24.75,8,Low,0.06
2022-10-11,Peshawar,27.0,68,16.12,4,Middle,0.88
2022-10-12,Karachi,30.9,84,15.08,3,Middle,0.18
2022-10-13,Quetta,33.8,76,11.88,5,Middle,0.65
2022-10-14,Peshawar,30.3,83,11.24,4,High,9.5
2022-10-15,Quetta,30.3,48,13.87,5,High,3.3
2022-10-16,Islamabad,25.1,83,17.75,8,Low,0.07
2022-10-17,Peshawar,25.4,44,33.72,5,High,1.24
2022-10-18,Islamabad,20.2,57,18.84,3,Low,1.57
2022-10-19,Karachi,42.2,53,23.07,7,High,0.35
2022-10-20,Karachi,21.3,37,24.4,7,Low,0.24
2022-10-21,Peshawar,25.1,72,22.79,8,Middle,3.52
2022-10-22,Peshawar,25.0,38,21.54,7,High,5.2
2022-10-23,Quetta,36.3,76,14.83,6,Low,7.22
2022-10-24,Quetta,27.9,62,30.71,2,High,2.34
2022-10-25,Islamabad,38.7,62,32.84,6,Middle,1.63
2022-10-26,Peshawar,25.3,48,11.9,4,Low,0.64
2022-10-27,Karachi,32.0,32,15.86,6,High,0.28
2022-10-28,Quetta,24.2,39,20.32,4,High,0.12
2022-10-29,Quetta,45.0,69,16.21,4,Middle,1.77
2022-10-30,Karachi,21.7,76,25.04,2,Middle,2.3
2022-10-31,Quetta,32.2,71,17.63,3,Low,2.63
2022-11-01,Islamabad,34.4,30,34.99,8,High,3.68
2022-11-02,Peshawar,32.9,58,29.14,2,High,3.18
2022-11-03,Karachi,28.7,79,23.28,8,Middle,12.39
2022-11-04,Peshawar,29.1,63,28.16,7,Middle,0.42
2022-11-05,Quetta,30.3,80,28.64,7,Low,2.16
2022-11-06,Quetta,29.0,42,18.62,6,High,1.32
2022-11-07,Karachi,36.7,83,17.1,4,High,0.45
2022-11-08,Islamabad,45.5,30,22.47,5,Low,6.02
2022-11-09,Lahore,26.1,63,27.17,5,Low,3.42
2022-11-10,Karachi,20.4,58,22.83,8,Middle,0.21
2022-11-11,Lahore,29.4,77,12.54,4,Middle,0.04
2022-11-12,Lahore,48.1,76,17.18,8,Low,1.75
2022-11-13,Islamabad,24.4,42,21.56,2,Low,1.39
2022-11-14,Lahore,41.5,77,21.55,3,High,4.12
2022-11-15,Lahore,41.7,78,33.84,2,Low,0.4
2022-11-16,Islamabad,26.1,82,13.68,4,Low,0.13
2022-11-17,Lahore,34.0,58,25.03,4,High,0.45
2022-11-18,Lahore,41.4,68,30.93,3,Low,0.03
2022-11-19,Lahore,27.3,53,35.63,8,Middle,0.05
2022-11-20,Karachi,28.6,55,19.57,6,Middle,3.7
2022-11-21,Karachi,25.9,46,24.95,6,High,0.65
2022-11-22,Karachi,22.9,36,25.42,3,Low,0.79
2022-11-23,Islamabad,25.5,42,23.17,6,Middle,0.03
2022-11-24,Quetta,21.4,34,21.41,5,Middle,0.47
2022-11-25,Lahore,30.2,55,24.62,6,Middle,2.45
2022-11-26,Lahore,24.6,78,6.81,6,Middle,1.43
2022-11-27,Islamabad,31.6,32,26.09,6,Low,2.1
2022-11-28,Lahore,19.1,36,22.76,5,Low,0.89
2022-11-29,Karachi,32.3,87,20.67,8,Low,0.56
2022-11-30,Quetta,35.8,78,34.28,6,Low,0.99
2022-12-01,Peshawar,16.0,68,17.95,7,Middle,0.59
2022-12-02,Lahore,32.6,82,19.58,5,High,2.74
2022-12-03,Karachi,38.6,30,33.95,3,High,0.53
2022-12-04,Peshawar,21.5,78,17.01,2,Middle,1.62
2022-12-05,Quetta,41.7,46,18.7,3,Middle,0.22
2022-12-06,Peshawar,32.9,72,21.12,2,High,1.74
2022-12-07,Karachi,25.1,54,27.04,3,High,3.67
2022-12-08,Peshawar,29.6,88,23.25,7,Middle,1.41
2022-12-09,Islamabad,33.9,32,14.24,2,Middle,1.23
2022-12-10,Peshawar,30.5,44,18.81,2,Low,4.87
2022-12-11,Lahore,33.8,58,18.36,4,Low,1.48
2022-12-12,Lahore,23.6,82,21.54,2,High,0.45
2022-12-13,Islamabad,31.2,72,24.56,2,Middle,0.52
2022-12-14,Karachi,20.1,61,24.51,4,High,1.83
2022-12-15,Lahore,29.2,55,11.34,6,Low,1.99
2022-12-16,Quetta,23.7,89,28.38,6,Low,0.54
2022-12-17,Lahore,24.9,45,23.52,4,High,0.64
2022-12-18,Lahore,38.7,54,30.31,5,Low,7.08
2022-12-19,Karachi,37.6,83,24.67,2,Middle,0.16
2022-12-20,Peshawar,34.3,57,28.61,2,High,0.78
2022-12-21,Lahore,22.4,38,24.8,4,Middle,0.1
2022-12-22,Islamabad,27.8,85,30.08,4,Middle,2.58
2022-12-23,Peshawar,38.5,85,25.13,5,Low,0.15
2022-12-24,Quetta,31.0,30,21.41,7,Middle,1.68
2022-12-25,Karachi,46.2,58,35.63,6,High,0.09
2022-12-26,Quetta,32.8,86,27.33,3,Middle,1.68
2022-12-27,Peshawar,31.3,51,25.44,7,Middle,2.78
2022-12-28,Peshawar,27.8,45,14.34,8,Middle,0.76
2022-12-29,Peshawar,30.9,70,14.27,6,Middle,1.11
2022-12-30,Quetta,28.9,80,23.76,2,Middle,0.77
2022-12-31,Peshawar,35.0,73,22.87,8,Low,0.54
2023-01-01,Quetta,36.7,80,18.32,7,High,2.44
2023-01-02,Peshawar,24.5,83,22.85,4,Low,0.48
2023-01-03,Islamabad,20.7,70,31.53,5,High,1.93
2023-01-04,Peshawar,17.1,36,26.17,6,High,0.35
2023-01-05,Quetta,33.6,43,15.15,5,High,0.43
2023-01-06,Lahore,22.3,58,21.33,8,High,0.62
2023-01-07,Peshawar,14.9,48,17.17,6,High,1.33
2023-01-08,Lahore,32.7,48,19.67,7,Middle,0.91
2023-01-09,Islamabad,47.5,31,19.52,2,Low,2.05
2023-01-10,Karachi,30.0,70,19.13,3,Low,0.36
2023-01-11,Islamabad,35.9,74,14.47,5,Middle,0.02
2023-01-12,Peshawar,30.6,44,21.23,5,High,2.25
2023-01-13,Lahore,29.3,32,18.64,3,Low,2.59
2023-01-14,Lahore,36.4,40,4.42,5,Middle,0.09
2023-01-15,Quetta,28.0,82,34.32,5,Middle,1.42
2023-01-16,Lahore,31.9,75,28.53,6,Low,0.71
2023-01-17,Quetta,32.3,59,19.74,6,Low,2.37
2023-01-18,Karachi,25.3,86,22.11,3,High,3.11
2023-01-19,Peshawar,36.9,69,14.97,8,High,2.86
2023-01-20,Quetta,28.8,47,32.17,2,Low,2.25
2023-01-21,Karachi,24.7,80,33.38,7,High,0.47
2023-01-22,Lahore,33.8,77,22.94,7,Middle,2.51
2023-01-23,Lahore,23.7,31,28.14,8,High,1.14
2023-01-24,Karachi,30.2,61,23.05,5,High,0.08
2023-01-25,Lahore,29.9,37,13.98,2,Middle,0.92
2023-01-26,Karachi,37.6,51,19.53,3,High,4.28
2023-01-27,Quetta,33.3,35,22.79,8,Middle,3.28
2023-01-28,Quetta,29.8,41,19.27,3,High,0.16
2023-01-29,Karachi,35.7,76,20.69,6,Low,2.04
2023-01-30,Quetta,39.7,86,21.45,5,High,2.46
2023-01-31,Quetta,33.9,69,21.51,4,Low,0.47
2023-02-01,Quetta,30.1,65,22.31,3,Low,0.96
2023-02-02,Islamabad,20.8,44,15.64,8,Low,1.86
2023-02-03,Peshawar,22.5,57,17.7,5,Low,0.87
2023-02-04,Lahore,27.9,81,14.29,2,Low,0.18
2023-02-05,Islamabad,25.7,86,27.87,8,Middle,1.84
2023-02-06,Quetta,28.7,78,9.37,6,Middle,3.64
2023-02-07,Karachi,30.4,74,28.92,7,Middle,1.59
2023-02-08,Quetta,33.7,47,30.32,2,Low,2.23
2023-02-09,Peshawar,29.5,31,20.19,3,High,0.67
2023-02-10,Quetta,33.4,42,6.38,3,Middle,0.3
2023-02-11,Karachi,30.5,74,19.83,2,High,1.54
2023-02-12,Peshawar,16.2,83,21.61,3,High,0.6
2023-02-13,Quetta,23.4,44,15.94,8,Low,2.95
2023-02-14,Peshawar,29.0,49,18.91,5,Low,0.2
2023-02-15,Lahore,21.5,58,31.18,3,Low,0.85
2023-02-16,Lahore,34.2,88,25.99,6,Middle,0.76
2023-02-17,Quetta,40.7,71,16.45,5,Low,4.17
2023-02-18,Peshawar,38.5,58,12.41,8,Middle,0.25
2023-02-19,Karachi,28.5,32,20.04,4,Middle,0.01
2023-02-20,Quetta,40.4,48,20.72,3,Middle,0.41
2023-02-21,Lahore,31.0,32,24.98,3,Middle,2.57
2023-02-22,Lahore,27.6,83,18.79,6,Low,0.35
2023-02-23,Quetta,25.7,43,25.07,8,Middle,0.41
2023-02-24,Peshawar,27.9,69,33.61,6,Low,0.21
2023-02-25,Lahore,27.3,88,26.89,7,Low,1.89
2023-02-26,Peshawar,31.2,84,21.71,8,Middle,0.11
2023-02-27,Lahore,31.1,33,20.9,2,Low,0.6
2023-02-28,Lahore,30.0,88,19.86,2,High,0.5
2023-03-01,Islamabad,33.1,89,29.08,2,Low,1.22
2023-03-02,Lahore,38.3,81,18.24,6,Low,1.97
2023-03-03,Karachi,36.6,40,22.27,2,Middle,1.14
2023-03-04,Quetta,19.6,87,22.31,8,Middle,4.01
2023-03-05,Quetta,12.1,60,18.99,2,Low,4.54
2023-03-06,Peshawar,36.5,72,13.77,4,Middle,0.67
2023-03-07,Lahore,20.4,61,23.94,2,High,2.26
2023-03-08,Karachi,28.4,56,21.63,3,High,2.01
2023-03-09,Peshawar,21.8,59,25.0,7,Middle,3.35
2023-03-10,Islamabad,17.4,72,18.8,6,Low,0.89
2023-03-11,Peshawar,33.8,31,29.32,5,High,1.13
2023-03-12,Peshawar,35.3,78,16.74,7,High,0.81
2023-03-13,Lahore,26.0,38,32.27,4,Low,2.85
2023-03-14,Islamabad,11.9,57,11.51,6,Middle,0.39
2023-03-15,Peshawar,26.2,60,24.61,8,High,0.41
2023-03-16,Karachi,32.7,89,24.85,6,Low,0.7
2023-03-17,Karachi,19.6,63,17.23,3,Low,0.39
